order_id,avg_quantity
10248,12.0000
10249,40.0000
10250,25.0000
10251,17.5000
10252,35.0000
10253,34.0000
10254,19.0000
10255,27.5000
10256,13.5000
10257,20.0000
10258,57.5000
10260,25.5000
10261,20.0000
10262,13.5000
10263,46.0000
10264,30.0000
10265,25.0000
10266,12.0000
10267,45.0000
10269,40.0000
10270,27.5000
10271,24.0000
10272,32.0000
10273,30.4000
10274,20.0000
10275,12.0000
10276,15.0000
10277,16.0000
10278,18.6667
10279,15.0000
10280,20.6667
10283,24.3333
10284,18.6667
10285,40.3333
10286,70.0000
10287,25.0000
10289,30.0000
10290,16.6667
10291,22.0000
10292,20.0000
10293,12.0000
10294,17.2500
10296,19.0000
10297,40.0000
10298,31.2500
10299,17.5000
10300,25.0000
10301,20.0000
10302,26.6667
10303,28.3333
10304,30.0000
10305,26.6667
10309,23.3333
10312,22.0000
10313,12.0000
10314,31.6667
10315,22.0000
10316,70.0000
10317,20.0000
10318,20.0000
10319,22.0000
10320,30.0000
10322,20.0000
10324,48.2000
10325,26.0000
10326,30.0000
10327,35.0000
10328,40.0000
10329,16.0000
10330,37.5000
10331,15.0000
10332,28.0000
10333,40.0000
10335,36.5000
10336,18.0000
10337,27.4000
10338,17.5000
10339,49.0000
10340,24.0000
10342,40.0000
10343,32.5000
10344,52.5000
10345,75.0000
10346,28.0000
10347,50.0000
10348,20.0000
10349,24.0000
10350,16.5000
10351,36.6667
10352,20.0000
10353,31.0000
10354,12.0000
10355,25.0000
10356,20.6667
10357,23.0000
10358,20.0000
10359,68.6667
10360,32.0000
10361,54.5000
10362,31.3333
10363,14.6667
10364,30.0000
10365,24.0000
10367,23.0000
10368,24.3333
10369,19.0000
10370,21.6667
10372,41.0000
10373,65.0000
10374,22.5000
10375,15.0000
10376,42.0000
10377,20.0000
10379,18.0000
10380,22.6667
10381,14.0000
10382,39.0000
10383,18.3333
10384,21.5000
10385,20.0000
10386,15.0000
10387,14.0000
10388,25.0000
10389,20.2500
10390,42.2500
10391,18.0000
10392,50.0000
10393,42.2500
10395,49.0000
10396,40.3333
10397,18.0000
10398,75.0000
10399,34.7500
10400,28.6667
10401,42.0000
10402,62.5000
10403,45.5000
10404,33.3333
10405,50.0000
10406,36.0000
10407,20.0000
10408,35.0000
10409,12.0000
10410,32.5000
10411,32.5000
10412,20.0000
10413,26.0000
10414,34.0000
10415,20.0000
10416,20.0000
10417,40.3333
10418,36.5000
10419,40.0000
10420,20.0000
10421,22.5000
10423,17.0000
10424,46.3333
10425,20.0000
10427,35.0000
10428,20.0000
10429,37.5000
10430,48.7500
10431,43.3333
10432,40.0000
10433,28.0000
10434,18.0000
10435,12.0000
10436,31.3333
10437,15.0000
10438,16.6667
10439,20.3333
10440,52.0000
10441,50.0000
10442,56.6667
10443,12.0000
